,date,review,rating,isEdited,title,userName,developerResponse
0,2022-11-12 15:50:22,You need to check this updates account balance gone down to zero with me having to set up this account all over again. How do I access my previous funds?,5,False,My account balance gone to zero,devorbit,
1,2023-03-06 12:36:07,"I create kuda bank this Thursday and I put 1500£ for saving and they took the money when I was making my payments saying that looks suspicious ! Then I provide with a lot of documents and proofs and they still didn’t give me back my money ! It’s the worst bank I ever had , I’m in depression and without pension to stay because they took my money and they don’t want to give me back this is the worst situation I ever have experienced in my life … this bank of Nigeria it’s all scammers I don’t recommend to know one … I hope god helps you to see my review because I’m just trying to help other people to not go through what I been",1,False,Kuda steal money from the people it’s a scam bank,Kuda worst bank in Apple store,
2,2022-11-30 20:22:26,"Why are you collecting details about people’s income, employment and livelihoods, and making it mandatory? Users can’t access the app and consequently their funds unless they provide these details. That is wrong. Very wrong. It’s tantamount to holding people’s funds to ransom!

You need to explain what you’re collecting the information for, how you are using it and who has access to it. That’s the norm regarding collection of consumer sensitive data, which you are not following.

And why do I need to create a new PIN every time I log out of the account or you forcefully log me out after an update? It’s very frustrating. Why aren’t you keeping PINs, then requiring us to create a new one each time we want to log back in after being logged out?

Your app has lost its user friendliness. Completely. I now understand what the online complaints are about.",1,False,Mandatorily Collecting Unnecessary & Worrisome Sensitive Data,Jeyella,"{'id': 33532504, 'body': ""\r\nHi Jeyella, \r\nWe are sorry that you're having issues with the app. Please can you write to us at Help@kuda.com including a description of the error message received . We will investigate immediately & solve the issue.\r\nThank you 💜\r\n\r\n"", 'modified': '2022-12-05T08:16:42Z'}"
3,2022-03-02 15:56:07,"Please check the latest update
The app keeps on crashing when I try to log in. Seems to have stated after the most recent update.",5,False,App keeps crashing when I try to log in,zzxfv,
4,2023-03-26 08:00:29,"I have been using Kuda for quite some while now. The most amazing thing about Kuda, is the efficiency, few network interruptions and minimal service charge.",5,False,Exceptional Service by Kuda,Chymosky,"{'id': 35656955, 'body': 'Thank you for providing your valuable feedback.💜\r\n', 'modified': '2023-03-29T13:00:21Z'}"
5,2021-06-01 18:23:37,"Kuda is easily the best bank I have ever used, everything about it is easy, effortless, and a joy to use. It really is #thebankofthefree",5,False,A truly amazing experience,Ruppertt,
6,2023-03-18 12:04:22,Kuda bank is a terrible bank they have little to 0 customer service £1000 has gone missing due to the fact that the payments where being reviewed how can they even remove the payments from my list of payments but luckily I had taken screenshots please if you want to remain sane do not use this bank,1,False,Worse bank ever,Thustle1998,"{'id': 35485997, 'body': ""Hi there , We're sincerely sorry for the inconvenience this may have caused you. Please can you share with us the details of the transactions( amount and date) to enable us investigate immediately & solve the issue by send a mail to help@kuda.com . Your Kuda isn't going anywhere and your money is safe and secure in your account. We are always available to provide answers to your concerns at all times. Thank you 💜"", 'modified': '2023-03-20T14:54:24Z'}"
7,2020-08-26 18:49:31,"Since I joined Kuda, it hasn’t been all perfect but I love the fact they keep improving their services. I virtually do all my online banking business with Kuda. There’s room for improvement but they are definitely up there as the best fintech bank in Nigeria.",4,False,Wonderful,Beastofdeast,
8,2022-11-19 05:57:16,"Pls what is wrong with the new Kuda app? I can’t log in for days now.

How can I downgrade to the previous version?",5,False,Can’t log in,Emmanuel Oshin,
9,2023-03-21 13:14:15,"Account declines application , doesn’t go trough once I upload my license the app automatically stands by and closes it self , so I tried to open my dad s account he uses his passport to verify and same problem , I needed this account for both gbp and Nigerian transfer as my parents got a business there. Staff help please",1,False,Can’t open a account,Pamma8989,
10,2019-10-17 09:54:08,Very easy and fun to navigate. Opening a bank account was very easy and hassle free surprisingly. I’ve experienced a friendly and willing to help customer care service. Very happy to use this banks services.,4,False,Kuda Bank,007 D,"{'id': 11959714, 'body': 'Thank you.', 'modified': '2019-11-20T18:17:07Z'}"
11,2021-08-08 20:32:06,"I honestly adore Kuda and it’s app 

But I’m only giving it a four star because I believe the experience can be much better when sending money 

I believe it’s so stuffy and bland and could have a nicer look 

But these are just my opinions 

Again, love the bank, love the app

Although my app froze for a while back not updating to reflect current balances and overdrafts 😅",4,False,Transfer animations,Once in a life time,
12,2021-09-22 23:11:57,"What is The BVN ( bank verification number?) how can I get it please? I did contact you on Live chat but unfortunately still no response please let me know how to get BVN 
THANK YOU",4,False,BVN,dsroad,
13,2022-11-10 21:05:06,"Hey, the latest release is completely buggy, the app is almost unusable. I see some new features and accounts added, but none of it works. This wasn’t QAed properly. Please rectify before customers start to move away.",1,False,9 or 10 November Release Buggy,BravoHoka,
14,2022-11-17 23:31:02,I can’t login into my account after updating the app. Please fix the bug thanks,3,False,Unable to sign in,Boolembobo,
15,2021-08-05 15:30:17,"I tried to open an account from the Uk. The challenge is that it Sis not recognising the password sent to me by email. 

There is no other way to contact you hence this message. 

I am looking forward to a good experience. I look forward to your response.",1,False,Password incorrect,BBK031018,
16,2023-03-13 14:34:41,A very bad bank i did a transfer to my other account and for days I didn’t see the money up till now. The customer service is very poor they don’t respond.  Please don’t use this bank. They are scammers.,1,False,Pending transaction,Busybrainnnn,"{'id': 35399726, 'body': ""\r\nHi there, We're sincerely sorry for the inconvenience this may have caused you. Please can you share with us the details of the transactions( amount and date) . Please if have you sent us an email at  help@kuda.com stating your complaint? Please can you share with your Email address to enable us to follow up with the resolution.\r\nThank you💜\r\n"", 'modified': '2023-03-15T10:33:11Z'}"
17,2022-12-19 16:53:07,"Every attempt to conclude the account opening it throws Sorry we couldn't make that happen, please try again.
Sent two emails, no reply.
And you call yourself bank of the free, who are you deceiving",1,False,Unable to open a GBP account,yimexlape,"{'id': 33848275, 'body': ""Hi there,\nI'm sorry for the inconvenience this may have caused you. Please have you sent us an in-app message or email help@kudabank.com from the email linked to your account stating your complaint ? Please share Email address to enable us follow up with the resolution .\nThank you💜"", 'modified': '2022-12-21T06:08:32Z'}"
18,2023-04-27 15:47:26,"Good day , I can’t seem to open my kuda app , I keep tapping it and it automatically closes by itself please I need to run transactions can you please fix this",2,False,App issues,genebrige,"{'id': 36248598, 'body': ""We're sorry for the inconvenience this may have caused you.\r\nPlease use the web link in the interim https:// app.kuda.com/ in the interim.\r\nAt moment you might not able to use the kuda app on the iPhone6 ,but for iPhone 7 and above need to update their version of iOS.\r\nThank you .💜"", 'modified': '2023-04-30T14:27:41Z'}"
19,2022-10-30 07:08:39,"The app keeps crashing each time I try to log in, you guy need to do something about it and fix the bug",2,False,Critical,kingsunnybird,
20,2022-07-27 12:38:52,Awesome Bank with superb services. Delivers Money quickly to the recipient…,5,False,Very superb Bank/ App with great services,Rose Unusual,
21,2022-07-28 16:28:58,I’m a new customer and it’s my first time banking with Kuda. A very good and bankable bank😉.,5,False,A Bankable Bank,Ade_Tomi_Wa,
22,2023-03-25 12:04:23,"I considered Kuda the best among equals   

Kuda all the way",5,False,Best financial solution,busyfinger360,"{'id': 35608291, 'body': 'Thank you for providing your valuable feedback.💜\r\n', 'modified': '2023-03-27T10:39:51Z'}"
23,2022-12-23 14:23:36,I wonder and I’m confused as same time bcoz I don’t know why the heck is this app organized to be tracking someone’s (location) movements everywhere and every time.,1,False,Suggestion/complaint,iFarouq_11,"{'id': 33921518, 'body': 'Hi Farouq, we are sorry for whatever experience you might have had with us . Please we would like to have full details of your complaint ,by sending us an in-app message or email us at help@kuda.com , so that we resolve it and could improve based on your feedback. We look forward to your response . Thank you 💜', 'modified': '2022-12-25T15:27:33Z'}"
24,2022-04-20 14:27:26,"Please don't join Kuda, they will rather unlawfully arrest you than tell you why your account is locked. It's better you pay the 100N bank charges knowing your money is safe. KUDA is no differences than the sars every Youth hates in Nigeria. Don't bank WITH KUDA.",1,False,SARS 2.0,Oloriburukux1000,
25,2021-10-18 08:37:39,"Do not download or use this app its fake. The bank is based in nigeria it has no security and the service is none existent. Your money is not safe and I am still waiting for my money to be returned.

Do not trust it’s a SCAM",1,False,Fake app,dirty chinq,
26,2023-05-09 07:18:19,"I have transferred just over £5000 to my kuda account. For usage and spending on the platform.

Then I’ve realised I cannot order a GBP card for my kuda account and now my transfers are not going through. 

I am convinced that this is a scam. I have a lump sum of money sitting in kuda account and I’m not sure what they will do to me now. 

It is 08/05 today, I will update my review as I go through this process. 

Stay safe people!",1,False,Scam likely?,Worst Snap,"{'id': 36504884, 'body': ""Hi there , We're sincerely sorry for the inconvenience this may have caused you. Please can you share with us the details of your complaint to enable us investigate immediately & solve the issue by send a mail to Helpuk@kuda.com . Your Kuda isn't going anywhere and your money is safe and secure in your account. We are always available to provide answers to your concerns at all times. Thank you 💜\r\n"", 'modified': '2023-05-14T07:30:34Z'}"
27,2023-03-21 20:49:50,Blocks the account for no reason. Then I had someone I didn’t know transfer my Kuda account money. It didn’t bounce back nor did I receive. Kuda back pocket 💰,1,False,Takes your money,Bick99,"{'id': 35550447, 'body': ""Hi there,\r\nWe're  sorry for any difficulties you might have experienced in using the Kuda app and the delay in responding to your complaint. Please can you share with us the full details of your complaint by sending us an email at help@kuda.com stating your complaint? to enable us follow-up with the resolution of your complaint, if they are yet to be resolved? We look forward to your response.\r\nThank you💜\r\n"", 'modified': '2023-03-23T14:19:17Z'}"
