,date,review,rating,isEdited,title,userName,developerResponse
0,2022-06-29 09:52:40,I made a withdrawal on a Pos machine and I was debited 4 times and I made a complaint to their email they told me they will get back to me and then only reverse half of the money it’s been one month am still writing to them for the complete money but they are not working on anything they are just replying with one particular text and it’s really annoying please send me my complete money for God sake I’ve been enjoying Banking with you guys not until this incident and it’s been 1 month you guys told me you reverse the complete money in 10 to 12 days and it’s already one month now… am really disappointed I wish I you have a branch in Benin I’ll just go straight and tell your customer service they’re not trying … this is so annoying I go come da beg una for my money again?,5,False,Kuda Bank is a good Bank though it’s fast but I’m so disappointed in their customer service.,melachibisk,
1,2021-10-17 07:11:29,"This bank is becoming worse by the day, it’s literally impossible to get hold of their customer care unit, you click on the send us a message on the app it takes you to a link you’ll read articles which doesn’t solve any problems: I want to talk to the customer care, a real human being that can understand the problems with my account and get it solved but they won’t let you do that and the in-app support team is always unavailable. How can I have a bank that I can’t talk to customer care? An online bank that doesn’t have a branch in the whole of edo state, now I sent money to someone and it’s been 24 hour he hasn’t received the payment and I haven’t got a refund as well, nobody to talk to, the other guy has called his bank and they told him no money came through, my so called bank won’t give me the option to even talk to them. Taking me yo read articles that might be of help.

The (report this an issue with this payment) option on the app is useless, it doesn’t click, you try to click it and it won’t click, you can’t chat with customer care, you can’t repost transactions, which kind bank be this?",1,False,Poor customer service,Makaveli Thugger,
2,2022-11-17 04:34:04,"Well this my second year of using Kuda and I have made friends used it to but recently Kuda has been terrible ever since the upgrade. I made a transaction of 4950 on 12th November with a POS and the payment declined from the POS but I was debited and till date I still haven’t gotten a refund. I have been chatting the customer service but I didn’t get a response, Usually it doesn’t take Kuda to refund a decline payment within 30minutes but this time I don’t understand. All my friends that I referred to Kuda Omo last last they don move their money and they deleted the app because how can a bank app be acting as if the want to crash and run with people’s money. I’m the only one still using the app and not because you guys haven’t refunded my money but because I know Kuda can’t crash because it’s registered to CBN but my friends don’t understand that and they have to just leave you guys for now.",4,False,About the upgrade and a failed POS transaction,Samchriss01,
3,2023-01-04 00:27:13,"Kuda bank is becoming a more frustrating bank to bank with. They don’t pick up their customer care line one bit, they don’t reply on their social media platforms as well. On the 1st of December I used my card on a POS and the transaction was declined yet I was debited. I’ve requested for a reversal multiple times and even reached out to the help center on the app, they keep sending me fake mails that the matter is in progress but till date nothing has been done and up till today I haven’t gotten the money back. I keep trying to reach out yet no body takes care of my complaint. This is a very unreliable app and I don’t feel like my money is safe with them. I advice you all who is planning to bank with them to RUN AWAY because you will surely complain just like me and every other customer complain here. KUDA IS A SCAM !!!!",5,True,KUDA IS A SCAM!!!,Christopher Nicky,"{'id': 33871878, 'body': ""Hi Christopher, We're sincerely sorry for the inconvenience this may have caused you and the delay in responding to your complaint. if you have send a mail to help@kuda.com or an in-app message ,please share with me your email address to enable us follow-up with the resolution of your complaint, ? We look forward to your response. Your Kuda isn't going anywhere and your money is safe and secure in your account. We are always available to provide answers to your concerns at all times. Thank you 💜"", 'modified': '2022-12-22T07:57:20Z'}"
4,2020-12-31 10:53:32,"When I read the above review, I just thought to myself that someone that works at the bank definitely wrote this. After downloading and setting up the account for myself, I hadn’t even used it at all, and I was already impressed and excited. Everything worked very very very smoothly with the setup. My main reason for even actually downloading was the whole KYC palaver that I’ve had with my Opay account and my carbon account where they’re unable to verify you at all or when they can, it takes forever. This took just a few hours after submitting the requisite documents. And even collecting the documents is so seamlessly automated that it was a breeze. For now, it’s looking like bye bye to my main bank, unless something seriously goes awry. And I’m not hoping for that.",5,False,Great Banking App,L.yusuf,
5,2023-03-13 17:11:21,"Please Kuda am seeing the reviews and l don’t like it, people are complaining of not reversing their money after going to pos, this is really and consumer service not working. Please fix all this, if fix all this your bank will become the highest bank ever in Africa’s yes that right.
User; according to reviews l must say you guys should not Go on pos instead do transfer, if not your money may lost. This app is good don’t uninstall it this app is good, it just part of what many company app facings, your will not be lost but don’t go pos, if you reason why do we have access to their atm even duo the bank doesn’t in your country, yes is very hard to create such a network without having the bank in your country, so guys let continue with transfer and support this company.
Thank you.",5,False,First time User,African£,"{'id': 35399784, 'body': ""Thank you for your kind feedback. We are aware of this problem and are currently working on solving it .\r\nWe're sorry for any inconvenience this may have caused.\r\n\r\nIf you have any questions, please send a message to help@kuda.com.💜\r\n"", 'modified': '2023-03-15T10:36:26Z'}"
6,2022-04-28 23:42:42,"I’ve experienced this two times when I started using this kuda few days ago, a little transaction has been done which I’m happy about for the free services, but the problem is when I login my kuda into this kuda it will just keep loading and not take me to the main account where I can see my money, I’ll make the Face ID as required, but it to open us a problem, I’ve uninstalled and reinstalled this app I’ll set everything back up I’ll see my money, but few seconds I’ll try logging in again it will start the same thing so this gives me trust issues from this bank, please you try to fix this problems or is not by making everything be free for us.",5,False,"Frustrating when you’re trying to logging, it will just keep booting like that.",bbbehhwhajhss,
7,2021-03-26 05:52:47,"It’s been a struggle upgrading my account since I registered. It was a struggle getting someone to attend to me, a struggle getting them to verify my bvn, we are still dragging ID card issues. Why are they giving me more stress than a physical bank would? A deposit was made to the account before all this wahala and up till now it has not reflected. The support is a scam, you’d wait for days to get a simple ‘hello’. why would a bank only have one customer care number, it rings on end with one to pick. 
To think I made a post about them before registering urging people to use the bank! I am so disappointed.",5,False,Poor overall service,ola_m312,
8,2022-12-08 07:39:15,"I made a withdrawal from a pos of 5700 naira but it was a fail transaction which I was debited for I waited to get my reversal back but I am yet to get it because the money was an amount paid by a customer, so I had to withdraw it and put the cash in the drawer, but I kept on waiting, i even called the customer service multiple times which was my airtime draining and sent an email which couldn’t go, I was later accused of stealing even after explaining the situation at hand Please Kuda reverse the money back to me I am getting to regret ever banking with Kuda because this is not the first time nor the second time nor even the third time and I am sure it wouldn’t be the last because it’s going to keep happening. Please do something about this poor management before you start losing customers.",3,False,Kuda is becoming a frustrating banking app,dahrki,"{'id': 33645584, 'body': ""Hi there , We're sincerely sorry for the inconvenience this may have caused you. Please can you share with us the details of the transactions( amount and date) to enable us investigate immediately & solve the issue by send a mail to help@kuda.com . Your Kuda isn't going anywhere and your money is safe and secure in your account. We are always available to provide answers to your concerns at all times. Thank you 💜\r\n"", 'modified': '2022-12-10T14:07:25Z'}"
9,2022-10-24 12:57:04,"So the kuda app has been wonderful but then there has been several issues with app recently and I’ll just try to highlight the little I can remember. 
1. The fixed savings: initially once I put let say 100k for fixed savings and I decide to withdraw 10k from it, I can withdraw the 10k. But now once I input the specific amount like 10k  that I want to withdraw from the 100k its withdraw the whole 100k  instead of the specific amount and I’ll need to re-add  the 90k all over again. 

2. I only see notifications on my notifications tray once i go into the app to read them they’re no where to be found on the app.  I applied to test the new app to be launched into beta for IOS I got a notification on how to go about it but now I can’t find it again.",4,False,Applaud and complain,Amazueus,
